Function Name,link,lambda,xrange,zmin,zmax,markdown
Jennrich-Sampson's Function,/benchmarks/unconstrained/2-dimensions/134-jennrich-sampson-s-function,"f = lambda x: np.array([np.sum([(2 + 2*k - (np.exp(k*x[i,0]) + np.exp(k*x[i,1])))**2 for k in range(1, 11)]) for i in range(x.shape[0])]).reshape(-1, 1)","[[-1, 0.35], [-1, 0.35]]","[(0.25782521321500883, 0.25782521381356827)]",[],"$The lambda function can be expressed in LaTeX syntax as follows:

\[
f(\mathbf{x}) = \begin{bmatrix}
\sum_{k=1}^{10} \left(2 + 2k - \left(e^{kx_{1,1}} + e^{kx_{1,2}}\right)\right)^2 \\
\sum_{k=1}^{10} \left(2 + 2k - \left(e^{kx_{2,1}} + e^{kx_{2,2}}\right)\right)^2 \\
\vdots \\
\sum_{k=1}^{10} \left(2 + 2k - \left(e^{kx_{n,1}} + e^{kx_{n,2}}\right)\right)^2
\end{bmatrix}
\]

where $\mathbf{x}$ is an $n \times 2$ matrix with rows $x_{i,1}$ and $x_{i,2}$ for $i = 1, \ldots, n$.$"
Judge's Function,/benchmarks/unconstrained/2-dimensions/133-judge-s-function,"f = lambda x: np.array([sum([((x[i, 0] + B[k] * x[i, 1] + C[k] * x[i, 1]**2) - A[k])**2 for k in range(20)]) for i in range(x.shape[0])]).reshape(-1, 1)","[[-10, 10], [-10, 10]]","[(0.864787285816574, 1.235748499036571)]",[],"$\[
f(\mathbf{x}) = \left[ \sum_{k=0}^{19} \left( (x_{i,0} + B_k x_{i,1} + C_k x_{i,1}^2) - A_k \right)^2 \right]_{i=0}^{N-1}
\]

where $\mathbf{x}$ is an $N \times 2$ matrix, $N$ is the number of rows in $\mathbf{x}$, and $A_k$, $B_k$, and $C_k$ are constants for $k = 0, 1, \ldots, 19$. The function $f$ returns an $N \times 1$ column vector.$"
Keane's Function,/benchmarks/unconstrained/2-dimensions/135-keane-s-function,"f = lambda x: -((np.sin(x[:,0]-x[:,1]))**2)*((np.sin(x[:,0]+x[:,1]))**2)/np.sqrt(x[:,0]**2+x[:,1]**2)","[[0, 10], [0, 10]]","[(0, 1.393249070031784), (1.393249070031784, 0)]",[],"$The lambda function can be expressed in LaTeX syntax as follows:

\[
f(\mathbf{x}) = -\frac{(\sin(x_0 - x_1))^2 \cdot (\sin(x_0 + x_1))^2}{\sqrt{x_0^2 + x_1^2}}
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\).$"
Kearfott's Function,/benchmarks/unconstrained/2-dimensions/59-kearfott-s-function,"f = lambda x: ((x[:,0]**2 + x[:,1]**2 - 2)**2) + ((x[:,0]**2 - x[:,1]**2 - 1)**2)","[[-3, 4], [-3, 4]]","[(sqrt(1.5), sqrt(0.5)), (-sqrt(1.5), sqrt(0.5)), (sqrt(1.5), -sqrt(0.5)), (-sqrt(1.5), -sqrt(0.5))]",[],$f(\mathbf{x}) = (\mathbf{x}_{0}^{2} + \mathbf{x}_{1}^{2} - 2)^{2} + (\mathbf{x}_{0}^{2} - \mathbf{x}_{1}^{2} - 1)^{2}$
Leon's Function,/benchmarks/unconstrained/2-dimensions/125-leon-s-function,"f = lambda x: 100*(x[:,1]-x[:,0]**3)**2 + (1-x[:,0])**2","[[-1.2, 1.2], [-1.2, 1.2]]","[(1, 1)]",[],"$The lambda function can be converted into the following mathematical expression using LaTeX syntax:

\[
f(\mathbf{x}) = 100 \cdot (x_2 - x_1^3)^2 + (1 - x_1)^2
\]

where $\mathbf{x}$ is a vector with components $x_1$ and $x_2$, corresponding to the first and second elements of the vector, respectively.$"
Matyas' Function,/benchmarks/unconstrained/2-dimensions/60-matyas-function,"f = lambda x: 0.26 * (x[:, 0]**2 + x[:, 1]**2) - 0.48 * x[:, 0] * x[:, 1]","[[-10, 10], [-10, 10]]","[(0, 0)]",[],$f(\mathbf{x}) = 0.26 \cdot (x_1^2 + x_2^2) - 0.48 \cdot x_1 \cdot x_2$
McCormick's Function,/benchmarks/unconstrained/2-dimensions/61-mccormick-s-function,"f = lambda x: -1.5*x[:,0] + 2.5*x[:,1] + (x[:,0] - x[:,1])**2 + np.sin(x[:,0] + x[:,1]) + 1","[[-1.5, 4], [-3, 4]]","[(-0.5471975602214493, -1.547197559268372)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = -1.5x_1 + 2.5x_2 + (x_1 - x_2)^2 + \sin(x_1 + x_2) + 1
\]

where $\mathbf{x}$ is a vector with components $x_1$ and $x_2$, corresponding to `x[:,0]` and `x[:,1]` in the lambda function, respectively.$"
Mineshaft Function No.03,/benchmarks/unconstrained/2-dimensions/115-mineshaft-function-no-3,"f = lambda x: -5*np.exp(-1000*(x[:,0]-0.5)**2-1000*(x[:,1]-0.3)**2)-7*np.exp(-2000*(x[:,0]-0.8)**2-2000*(x[:,1]-1.3)**2)","[[-2, 2], [-2, 2]]","[(0.8, 1.3)]",[],$f(\mathbf{x}) = -5e^{-1000(x_1 - 0.5)^2 - 1000(x_2 - 0.3)^2} - 7e^{-2000(x_1 - 0.8)^2 - 2000(x_2 - 1.3)^2}$
Mishra's Function No.03,/benchmarks/unconstrained/2-dimensions/138-mishra-s-function-no-3,"f = lambda x: np.abs(np.cos(np.sqrt(np.abs(x[:,0]**2 + x[:,1]**2))))**0.5 + (x[:,0] + x[:,1])/100","[[-10, 10], [-10, 10]]","[(8.466613775046579, -9.998521308999999)]",[],$f(\mathbf{x}) = \sqrt{|\cos(\sqrt{|x_0^2 + x_1^2|})|} + \frac{x_0 + x_1}{100}$
Mishra's Function No.04,/benchmarks/unconstrained/2-dimensions/149-mishra-s-function-no-4,"f = lambda x: np.abs(np.sin(np.sqrt(np.abs(x[:,0]**2 + x[:,1]**2))))**0.5 + (x[:,0] + x[:,1])/100","[[-10, 10], [-10, 10]]","[(-9.941127263635860, -9.999571661999983)]",[],"$The lambda function can be expressed in LaTeX syntax as follows:

\[
f(\mathbf{x}) = \sqrt{|\sin(\sqrt{|x_0^2 + x_1^2|})|} + \frac{x_0 + x_1}{100}
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\).$"
Mishra's Function No.05,/benchmarks/unconstrained/2-dimensions/150-mishra-s-function-no-5,"f = lambda x: ((np.sin((np.cos(x[:,0]) + np.cos(x[:,1]))**2))**2 + (np.cos((np.sin(x[:,0]) + np.sin(x[:,1]))**2))**2 + x[:,0])**2 + 0.01*(x[:,0] + 10*x[:,1])","[[-10, 10], [-10, 10]]","[(-1.986820662153768, -10)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = \left( \sin^2\left( \left( \cos(x_1) + \cos(x_2) \right)^2 \right) + \cos^2\left( \left( \sin(x_1) + \sin(x_2) \right)^2 \right) + x_1 \right)^2 + 0.01 \cdot (x_1 + 10x_2)
\]

where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the original lambda function, respectively.$"
Mishra's Function No.06,/benchmarks/unconstrained/2-dimensions/151-mishra-s-function-no-6,"f = lambda x: -np.log(((np.sin((np.cos(x[:,0])+np.cos(x[:,1]))**2))**2-(np.cos((np.sin(x[:,0])+np.sin(x[:,1]))**2))**2+x[:,0])**2)+0.1*((x[:,0]-1)**2+(x[:,1]-1)**2)","[[-10, 10], [-10, 10]]","[(2.886307215440481, 1.823260331422321)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -\log\left(\left(\sin^2\left(\cos(x_0) + \cos(x_1)\right)^2 - \cos^2\left(\sin(x_0) + \sin(x_1)\right)^2 + x_0\right)^2\right) + 0.1\left((x_0 - 1)^2 + (x_1 - 1)^2\right)
\]

where \( \mathbf{x} \) is a vector with components \( x_0 \) and \( x_1 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the original lambda function, respectively.$"
Mishra's Function No.08 (or Decanomial Function),/benchmarks/unconstrained/2-dimensions/49-mishra-s-function-no-8-or-decanomial-function,"f = lambda x: 0.001 * (np.abs(x[:,0]**10 - 20*x[:,0]**9 + 180*x[:,0]**8 - 960*x[:,0]**7 + 3360*x[:,0]**6 - 8064*x[:,0]**5 + 13340*x[:,0]**4 - 15360*x[:,0]**3 + 11520*x[:,0]**2 - 5120*x[:,0] + 2624) + np.abs(x[:,1]**4 + 12*x[:,1]**3 + 54*x[:,1]**2 + 108*x[:,1] + 81))**2","[[-10, 10], [-10, 10]]","[(2, -3)]",[],"$The lambda function can be converted into the following LaTeX expression:

```latex
f(\mathbf{x}) = 0.001 \left( \left| x_1^{10} - 20x_1^{9} + 180x_1^{8} - 960x_1^{7} + 3360x_1^{6} - 8064x_1^{5} + 13340x_1^{4} - 15360x_1^{3} + 11520x_1^{2} - 5120x_1 + 2624 \right| + \left| x_2^{4} + 12x_2^{3} + 54x_2^{2} + 108x_2 + 81 \right| \right)^2
```

Where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the original lambda function, respectively.$"
Mishra's Function No.10a (or SeqP Function No.01),/benchmarks/unconstrained/2-dimensions/152-mishra-s-function-no-10a-or-seqp-function-no-1,"f = lambda x: ((x[:,0] + x[:,1]) - (x[:,0] * x[:,1]))**2","[[-10, 10], [-10, 10]]","[(0, 0), (2, 2)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(x) = \left( (x_{:,0} + x_{:,1}) - (x_{:,0} \cdot x_{:,1}) \right)^2
\]$"
Mishra's Function No.10b (or SeqP Function No.02),/benchmarks/unconstrained/2-dimensions/153-mishra-s-function-no-10b-or-seqp-function-no-2,"f = lambda x: np.abs(x[:,0] + x[:,1] - x[:,0] * x[:,1]).reshape(len(x), 1)","[[-10, 10], [-10, 10]]","[(0, 0), (2, 2)]",[],"$The lambda function can be represented in LaTeX syntax as follows:

\[
f(\mathbf{x}) = \left| x_{i,0} + x_{i,1} - x_{i,0} x_{i,1} \right|
\]

for \( i = 1, 2, \ldots, n \), where \( n \) is the number of rows in matrix \( \mathbf{x} \), and \( x_{i,j} \) represents the element in the \( i \)-th row and \( j \)-th column of \( \mathbf{x} \). The result is a column vector with \( n \) entries.$"
Modified Schaffer's Function No.01,/benchmarks/unconstrained/2-dimensions/96-modified-schaffer-s-function-no-1,"f = lambda x: 0.5 + ((np.sin(x[:,0]**2 + x[:,1]**2)**2 - 0.5) / (1 + 0.001 * (x[:,0]**2 + x[:,1]**2))**2)","[[-10, 10], [-10, 10]]","[(0, 0)]",[],$f(\mathbf{x}) = 0.5 + \left(\frac{\sin^2(\mathbf{x}_0^2 + \mathbf{x}_1^2) - 0.5}{(1 + 0.001(\mathbf{x}_0^2 + \mathbf{x}_1^2))^2}\right)$
Modified Schaffer's Function No.02,/benchmarks/unconstrained/2-dimensions/97-modified-schaffer-s-function-no-2,"f = lambda x: 0.5 + ((np.sin(x[:, 0]**2 - x[:, 1]**2)**2 - 0.5) / (1 + 0.001 * (x[:, 0]**2 + x[:, 1]**2))**2)","[[-10, 10], [-10, 10]]","[(0, 0)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = 0.5 + \frac{\sin^2(x_0^2 - x_1^2) - 0.5}{(1 + 0.001 \cdot (x_0^2 + x_1^2))^2}
\]

where $\mathbf{x}$ is a vector with components $x_0$ and $x_1$.$"
Modified Schaffer's Function No.03,/benchmarks/unconstrained/2-dimensions/98-modified-schaffer-s-function-no-3,"f = lambda x: 0.5 + ((np.sin(np.cos(np.abs(x[:,0]**2 - x[:,1]**2)))**2 - 0.5) / (1 + 0.001 * (x[:,0]**2 + x[:,1]**2))**2)","[[-10, 10], [-10, 10]]","[(0, 1.253114962205510), (0, -1.253114962205510), (1.253114962205510, 0), (-1.253114962205510, 0)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = 0.5 + \frac{\left(\sin^2\left(\cos\left(\left|x_0^2 - x_1^2\right|\right)\right) - 0.5\right)}{\left(1 + 0.001 \cdot \left(x_0^2 + x_1^2\right)\right)^2}
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\), corresponding to the first and second elements of the vector \(x\) in the original lambda function.$"
Modified Schaffer's Function No.04,/benchmarks/unconstrained/2-dimensions/99-modified-schaffer-s-function-no-4,"f = lambda x: 0.5 + ((np.cos(np.sin(np.abs(x[:,0]**2 - x[:,1]**2)))**2 - 0.5) / (1 + 0.001 * (x[:,0]**2 + x[:,1]**2))**2)","[[-10, 10], [-10, 10]]","[(0, 1.253131828792882), (0, -1.253131828792882), (1.253131828792882, 0), (-1.253131828792882, 0)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = 0.5 + \frac{\left(\cos\left(\sin\left(\left|x_{0}^{2} - x_{1}^{2}\right|\right)\right)^2 - 0.5\right)}{\left(1 + 0.001 \cdot \left(x_{0}^{2} + x_{1}^{2}\right)\right)^2}
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\).$"
Muller-Browns' Surface Function,/benchmarks/unconstrained/2-dimensions/62-muller-browns-surface-function,"f = lambda x: (-200)*np.exp(-((x[:,0]-1)**2) - 10*((x[:,1])**2)) - 100*np.exp(-((x[:,0])**2) - 10*((x[:,1]-0.5)**2)) - 170*np.exp(-6.5*((x[:,0]+0.5)**2) + 11*((x[:,0]+0.5)*(x[:,1]-1.5)) - 6.5*((x[:,1]-1.5)**2)) + 15*np.exp(0.7*((x[:,0]+1)**2) + 0.6*((x[:,0]+1)*(x[:,1]-1)) + 0.7*((x[:,1]-1)**2))","[[-1.5, 1], [-0.5, 2.5]]","[(-0.558223638251928, 1.441725828290487)]",[],"$The lambda function `f` can be converted into the following mathematical expression using LaTeX syntax:

```latex
f(\mathbf{x}) = -200 e^{-((x_1 - 1)^2) - 10(x_2^2)} - 100 e^{-((x_1)^2) - 10((x_2 - 0.5)^2)} - 170 e^{-6.5((x_1 + 0.5)^2) + 11((x_1 + 0.5)(x_2 - 1.5)) - 6.5((x_2 - 1.5)^2)} + 15 e^{0.7((x_1 + 1)^2) + 0.6((x_1 + 1)(x_2 - 1)) + 0.7((x_2 - 1)^2)}
```

Where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the lambda function, respectively.$"
Parsopoulos' Function,/benchmarks/unconstrained/2-dimensions/252-parsopoulos-function,"f = lambda x: (np.cos(x[:,0])**2 + np.sin(x[:,1])**2).reshape(x.shape[0], 1)","[[-5, 5], [-5, 5]]","[(m*np.pi/2, n*np.pi) for m in [-1, 1, -3, 3, -5, 5, -7, 7, -9, 9, -11, 11] for n in range(-5, 6)]",[],"$The lambda function can be represented in LaTeX syntax as follows:

\[
f(\mathbf{x}) = \left( \cos^2(x_1) + \sin^2(x_2) \right)
\]

where $\mathbf{x}$ is a vector with components $x_1$ and $x_2$, corresponding to the first and second elements of the input array to the lambda function, respectively. The output is a column vector with the same number of rows as the input array.$"
Peaks Function,/benchmarks/unconstrained/2-dimensions/63-peaks-function,"f = lambda x: (3*(1-x[:,0])**2)*np.exp(-(x[:,0]**2)-(x[:,1]+1)**2) - 10*(x[:,0]/5-x[:,0]**3-x[:,1]**5)*np.exp(-(x[:,0]**2)-(x[:,1]**2)) + (1/3)*np.exp(-((x[:,0]+1)**2)-(x[:,1]**2))","[[-4, 4], [-4, 4]]",[],"[(0.228279999979237, -1.625531071954464)]","$The lambda function `f` can be converted into the following mathematical expression using LaTeX syntax:

\[
f(\mathbf{x}) = (3(1-x_0)^2) e^{-(x_0^2)-(x_1+1)^2} - 10\left(\frac{x_0}{5}-x_0^3-x_1^5\right) e^{-(x_0^2)-(x_1^2)} + \frac{1}{3} e^{-((x_0+1)^2)-(x_1^2)}
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\), corresponding to the first and second elements of the vector, respectively.$"
Pen-Holder Function,/benchmarks/unconstrained/2-dimensions/64-pen-holder-function,"f = lambda x: -np.exp(-1/np.abs(np.cos(x[:,0])*np.cos(x[:,1])*np.exp(np.abs(1-np.sqrt(x[:,0]**2+x[:,1]**2)/np.pi))))","[[-11, 11], [-11, 11]]","[(9.646167671043401, 9.646167671043401), (-9.646167671043401, 9.646167671043401), (9.646167671043401, -9.646167671043401), (-9.646167671043401, -9.646167671043401)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -\exp\left(-\frac{1}{\left|\cos(x_1) \cos(x_2) \exp\left(\left|1 - \frac{\sqrt{x_1^2 + x_2^2}}{\pi}\right|\right)\right|}\right)
\]

where $\mathbf{x} = (x_1, x_2)$ represents the input vector.$"
Powell's Badly Scaled Function,/benchmarks/unconstrained/2-dimensions/65-powell-s-badly-scaled-function,"f = lambda x: (10000*x[:,0]*x[:,1]-1)**2 + (np.exp(-x[:,0]) + np.exp(-x[:,1]) - 1.0001)**2","[[-10, 10], [-10, 10]]","[(1.098e-5, 9.106)]",[],"$The lambda function can be represented in LaTeX syntax as follows:

\[
f(\mathbf{x}) = (10000 x_0 x_1 - 1)^2 + (e^{-x_0} + e^{-x_1} - 1.0001)^2
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\).$"
Price's Function No.01 (or Becker-Lago's Function),/benchmarks/unconstrained/2-dimensions/28-becker-lago-s-function,"f = lambda x: (np.abs(x[:,0])-5)**2 + (np.abs(x[:,1])-5)**2","[[-10, 10], [-10, 10]]","[(5, 5), (-5, 5), (5, -5), (-5, -5)]",[],$f(\mathbf{x}) = (|\mathbf{x}_{0}|-5)^2 + (|\mathbf{x}_{1}|-5)^2$
Price's Function No.02 (or Periodic Function),/benchmarks/unconstrained/2-dimensions/158-price-s-function-no-2,"f = lambda x: 1 + np.sin(x[:,0])**2 + np.sin(x[:,1])**2 - 0.1 * np.exp(-x[:,0]**2 - x[:,1]**2)","[[-10, 10], [-10, 10]]","[(0, 0)]",[],$f(\mathbf{x}) = 1 + \sin^2(x_0) + \sin^2(x_1) - 0.1e^{-(x_0^2 + x_1^2)}$
Price's Function No.03 (Modified Rosenbrock's or Price-Rosenbrock's Function),/benchmarks/unconstrained/2-dimensions/160-price-s-function-no-3-modified-rosenbrock-s-or-price-rosenbrock-s-function,"f = lambda x: 100*(x[:,1]-x[:,0]**2)**2 + (6.4*(x[:,1]-0.5)**2 - x[:,0] - 0.6)**2","[[-5, 5], [-5, 5]]","[(0.341307503353524, 0.116490811845416), (1, 1)]",[],$f(\mathbf{x}) = 100 \left( x_{1} - x_{0}^2 \right)^2 + \left( 6.4 \left( x_{1} - 0.5 \right)^2 - x_{0} - 0.6 \right)^2$
Price's Function No.04,/benchmarks/unconstrained/2-dimensions/159-price-s-function-no-4,"f = lambda x: (2*x[:,0]**3*x[:,1] - x[:,1]**3)**2 + (6*x[:,0] - x[:,1]**2 + x[:,1])**2","[[-500, 500], [-500, 500]]","[(0, 0), (2, 4), (1.464352119663698, -2.506012760781662)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = \left(2x_1^3 x_2 - x_2^3\right)^2 + \left(6x_1 - x_2^2 + x_2\right)^2
\]

where \(\mathbf{x}\) is a vector with components \(x_1\) and \(x_2\), corresponding to \(x[:,0]\) and \(x[:,1]\) in the lambda function, respectively.$"
Quadratic Function,/benchmarks/unconstrained/2-dimensions/156-quadratic-function,"f = lambda x: -3803.84 - 138.08*x[:,0] - 232.92*x[:,1] + 128.08*x[:,0]**2 + 203.64*x[:,1]**2 + 182.25*x[:,0]*x[:,1]","[[-10, 10], [-10, 10]]","[(0.193880169366971, 0.485133920218833)]",[],"$The lambda function can be converted into the following mathematical expression using LaTeX syntax:

\[
f(\mathbf{x}) = -3803.84 - 138.08x_1 - 232.92x_2 + 128.08x_1^2 + 203.64x_2^2 + 182.25x_1x_2
\]

where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the lambda function, respectively.$"
Rotated Ellipse Function No.01,/benchmarks/unconstrained/2-dimensions/126-rotated-ellipse-function-no-1,"f = lambda x: 7*x[:,0]**2 - 6*np.sqrt(3)*x[:,0]*x[:,1] + 13*x[:,1]**2","[[-500, 500], [-500, 500]]","[(0, 0)]",[],$f(x) = 7x_0^2 - 6\sqrt{3}x_0x_1 + 13x_1^2$
Rotated Ellipse Function No.02,/benchmarks/unconstrained/2-dimensions/127-rotated-ellipse-function-no-2,"f = lambda x: x[:,0]**2 - x[:,0]*x[:,1] + x[:,1]**2","[[-500, 500], [-500, 500]]","[(0, 0)]",[],$f(\mathbf{x}) = x_1^2 - x_1 x_2 + x_2^2$
Rump Function,/benchmarks/unconstrained/2-dimensions/128-rump-function,"f = lambda x: abs((333.75 - x[:,0]**2) * x[:,1]**6 + x[:,0]**2 * (11*x[:,0]**2 * x[:,1]**2 - 121*x[:,1]**4 - 2) + 5.5*x[:,1]**8 + x[:,0] / (2 + x[:,1]))","[[-500, 500], [-500, 500]]","[(0, 0)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = \left| (333.75 - x_1^2) x_2^6 + x_1^2 (11x_1^2 x_2^2 - 121x_2^4 - 2) + 5.5x_2^8 + \frac{x_1}{2 + x_2} \right|
\]

where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the original lambda function, respectively.$"
S2 Function,/benchmarks/unconstrained/2-dimensions/117-s2-function,"f = lambda x: 2 + (x[:,1] - 0.7)**2","[[-10, 10], [-10, 10]]","[(x1, 0.7) for x1 in range(-10, 11)]",[],$f(x) = 2 + (x_2 - 0.7)^2$
S3 Function,/benchmarks/unconstrained/2-dimensions/118-s3-function,"f = lambda x: 2 + (x[:,1] - 0.7)**2 - np.arctan(x[:,0])","[[-10, 10], [-10, 10]]","[(10, 0.7)]",[],$f(\mathbf{x}) = 2 + (x_2 - 0.7)^2 - \arctan(x_1)$
Sawtoothxy Function,/benchmarks/unconstrained/2-dimensions/66-sawtoothxy-function,"f = lambda x: ((np.sin(x[:,1]) - np.sin(2*x[:,1])/2 + np.sin(3*x[:,1])/3 - np.sin(4*x[:,1])/4 + 4) * x[:,1]**2 / (x[:,1] + 1)) * (np.cos(2*np.arctan2(x[:,1], x[:,0]) - 1/2)/2 + np.cos(np.arctan2(x[:,1], x[:,0])) + 2)","[[-20, 20], [-20, 20]]","[(0, 0)]",[],"$The lambda function `f` can be converted into the following LaTeX expression:

```latex
f(\mathbf{x}) = \left( \left( \sin(x_2) - \frac{\sin(2x_2)}{2} + \frac{\sin(3x_2)}{3} - \frac{\sin(4x_2)}{4} + 4 \right) \frac{x_2^2}{x_2 + 1} \right) \left( \frac{\cos(2 \arctan\left(\frac{x_2}{x_1}\right) - \frac{1}{2})}{2} + \cos(\arctan\left(\frac{x_2}{x_1}\right)) + 2 \right)
```

In this expression, `x` is assumed to be a vector where `x_1` is the first component and `x_2` is the second component.$"
Schaffer's Function No.06,/benchmarks/unconstrained/2-dimensions/100-schaffer-s-function-no-6,"f = lambda x: 0.5 + ((np.sin(np.sqrt(x[:, 0]**2 + x[:, 1]**2))**2 - 0.5) / (1 + 0.001 * (x[:, 0]**2 + x[:, 1]**2))**2)","[[-100, 100], [-100, 100]]","[(0, 0)]",[],$f(\mathbf{x}) = 0.5 + \left(\frac{\sin^2\left(\sqrt{x_0^2 + x_1^2}\right) - 0.5}{\left(1 + 0.001 \cdot (x_0^2 + x_1^2)\right)^2}\right)$
Schaffer's Function No.07,/benchmarks/unconstrained/2-dimensions/101-schaffer-s-function-no-7,"f = lambda x: ((x[:,0]**2 + x[:,1]**2)**0.25) * (50*((x[:,0]**2 + x[:,1]**2)**0.1) + 1)","[[-100, 100], [-100, 100]]","[(0, 0)]",[],$f(\mathbf{x}) = \left( x_0^2 + x_1^2 \right)^{0.25} \cdot \left( 50\left( x_0^2 + x_1^2 \right)^{0.1} + 1 \right)$
Shekel's Foxholes Function,/benchmarks/unconstrained/2-dimensions/7-shekel-s-foxholes-function,"f = lambda x: (1/500 + sum([1/(k + (x[:,0]-a[0,k])**6 + (x[:,1]-a[1,k])**6) for k in range(25)]))**-1","[[-65.536, 65.536], [-65.536, 65.536]]","[(-31.97833, -31.97833)]",[],"$f(\mathbf{x}) = \left(\frac{1}{500} + \sum_{k=0}^{24} \frac{1}{k + (\mathbf{x}_{0} - a_{0,k})^6 + (\mathbf{x}_{1} - a_{1,k})^6}\right)^{-1}$"
Six-Hump Camel-Back Function,/benchmarks/unconstrained/2-dimensions/23-six-hump-camel-back-function,"f = lambda x: 4*x[:,0]**2 - 2.1*x[:,0]**4 + (1/3)*x[:,0]**6 + x[:,0]*x[:,1] - 4*x[:,1]**2 + 4*x[:,1]**4","[[-2, 2], [-1, 1]]","[(0.08984201368301331, 0.7126564032704135), (-0.08984201368301331, -0.7126564032704135), (0.08984201368301331, -0.7126564032704135), (-0.08984201368301331, 0.7126564032704135)]",[],$f(\mathbf{x}) = 4x_1^2 - 2.1x_1^4 + \frac{1}{3}x_1^6 + x_1x_2 - 4x_2^2 + 4x_2^4$
Stenger's Function,/benchmarks/unconstrained/2-dimensions/103-stenger-s-function,"f = lambda x: (x[:,0]**2 - 4*x[:,1])**2 + (x[:,1]**2 - 2*x[:,0] + 4*x[:,1])**2","[[-1, 4], [-1, 4]]","[(0, 0), (1.695415196279268, 0.718608171943623)]",[],$f(\mathbf{x}) = (x_1^2 - 4x_2)^2 + (x_2^2 - 2x_1 + 4x_2)^2$
Storn's Function,/benchmarks/unconstrained/2-dimensions/102-storn-s-function,"f = lambda x: (10**m) * x[:,0]**2 + x[:,1]**2 - (x[:,0]**2 + x[:,1]**2)**2 + (10**-m) * (x[:,0]**2 + x[:,1]**2)**4","[[-2, 2], [-2, 2]]","[(0, -1.386952327146511), (0, 1.386952327146511), (0, -2.608906424592038), (0, 2.608906424592038), (0, -4.701739810796703), (0, 4.701739810796703)]",[],$f(\mathbf{x}) = 10^m x_0^2 + x_1^2 - (x_0^2 + x_1^2)^2 + 10^{-m} (x_0^2 + x_1^2)^4$
Test-Tube Holder Function,/benchmarks/unconstrained/2-dimensions/104-test-tube-holder-function,"f = lambda x: -4*np.abs(np.exp(np.abs(np.cos((x[:,0]**2 + x[:,1]**2)/200)))*np.sin(x[:,0])*np.cos(x[:,1]))","[[-10, 10], [-10, 10]]","[(-np.pi/2, 0)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -4 \left| \exp\left(\left| \cos\left(\frac{x_0^2 + x_1^2}{200}\right)\right|\right) \sin(x_0) \cos(x_1) \right|
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\), corresponding to \(x[:,0]\) and \(x[:,1]\) in the lambda function, respectively.$"
